DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jun1972,2.60309,1.58142,0.34118,-0.29048,-0.07099,0.13773,0.01644,-0.21598,-0.26118,-0.27782,-0.21667,0.01932,-0.03289,0.0215,0.05003,-0.12751,-0.24636,-0.16734,-0.22572,-0.43141,-0.47145,-0.51861,-0.42729,-0.38467,-0.46988,-0.46232,-0.44285,-0.28393,-0.34446,-0.25649,-0.31499,-0.22358,-0.24747,-0.23627,-0.30362,-0.30295,-0.33076,-0.34118,-0.38604,-0.36128,-0.27662,-0.26549,-0.16321,-0.11433,-0.06862,-0.11285,-0.16395,-0.17986
Jul1972,-0.80786,1.47358,0.79183,0.01718,-0.45466,-0.24951,-0.05276,-0.1643,-0.35693,-0.3962,-0.41041,-0.34457,-0.11723,-0.16397,-0.09821,-0.06104,-0.23197,-0.3414,-0.2601,-0.31102,-0.50121,-0.53596,-0.57881,-0.48871,-0.44765,-0.52712,-0.51862,-0.49651,-0.34371,-0.40104,-0.31467,-0.3722,-0.28381,-0.3071,-0.29499,-0.35904,-0.3571,-0.3824,-0.3909,-0.43342,-0.4097,-0.32617,-0.31456,-0.21299,-0.16429,-0.11841,-0.16219,-0.21232
Aug1972,0.27491,-0.30182,1.26842,0.77469,0.04258,-0.39969,-0.20639,-0.01194,-0.09925,-0.30379,-0.34536,-0.3559,-0.29319,-0.07203,-0.12085,-0.06088,-0.02997,-0.20035,-0.30975,-0.22815,-0.27752,-0.46905,-0.5054,-0.54684,-0.45834,-0.41806,-0.4978,-0.49121,-0.47089,-0.3211,-0.37962,-0.29467,-0.35392,-0.26615,-0.29004,-0.27916,-0.34356,-0.3421,-0.36705,-0.37512,-0.41902,-0.39632,-0.31401,-0.30394,-0.20241,-0.15407,-0.10874,-0.15303
Sep1972,0.49993,0.53973,0.02877,1.24519,0.88289,0.20897,-0.24572,-0.08491,0.09021,-0.02264,-0.23991,-0.28382,-0.29198,-0.23438,-0.02665,-0.07533,-0.01884,0.00865,-0.1607,-0.27235,-0.19026,-0.24251,-0.43225,-0.46933,-0.51063,-0.42318,-0.38173,-0.46264,-0.45527,-0.43844,-0.28754,-0.34877,-0.26307,-0.32327,-0.23675,-0.26239,-0.25221,-0.31833,-0.31815,-0.34328,-0.35015,-0.39376,-0.36898,-0.28677,-0.27471,-0.16881,-0.12001,-0.07632
Oct1972,0.28747,0.49912,0.50399,0.15193,1.10224,0.83654,0.28199,-0.11462,0.02642,0.17002,0.05572,-0.16383,-0.2155,-0.22621,-0.17427,0.02442,-0.03001,0.0148,0.04041,-0.12158,-0.2326,-0.14965,-0.20251,-0.38746,-0.42639,-0.46921,-0.3858,-0.34614,-0.4281,-0.42397,-0.4074,-0.26056,-0.32014,-0.23593,-0.29077,-0.20882,-0.23241,-0.22241,-0.28908,-0.29023,-0.31309,-0.32061,-0.36486,-0.34032,-0.26007,-0.24957,-0.14412,-0.09493
Nov1972,1.20826,1.05249,1.1516,1.13807,0.92147,1.49564,1.32223,0.83093,0.38867,0.48466,0.59162,0.46258,0.19167,0.13101,0.113,0.14956,0.34388,0.27928,0.31484,0.32722,0.14521,0.0211,0.09659,0.03901,-0.1667,-0.2059,-0.25106,-0.17044,-0.13129,-0.22357,-0.22632,-0.218,-0.06747,-0.13405,-0.05565,-0.1149,-0.03475,-0.06416,-0.05431,-0.12403,-0.12825,-0.1552,-0.16881,-0.22161,-0.19895,-0.11728,-0.10857,-0.00182
Dec1972,0.13108,0.83477,0.79026,0.87706,0.88233,0.71051,1.21559,1.07154,0.69277,0.34178,0.43665,0.54609,0.4324,0.1589,0.09449,0.08539,0.12466,0.31949,0.25809,0.29902,0.30504,0.13326,0.01446,0.09032,0.03593,-0.16942,-0.2038,-0.25003,-0.17287,-0.13417,-0.22614,-0.2299,-0.21946,-0.06918,-0.13583,-0.05852,-0.11794,-0.03654,-0.06603,-0.05667,-0.125,-0.12876,-0.15595,-0.17067,-0.22468,-0.20246,-0.12085,-0.1121
Jan1973,0.19641,0.08543,0.76103,0.74671,0.81443,0.82318,0.64145,1.13559,0.99482,0.64665,0.31651,0.40435,0.50953,0.38738,0.12477,0.06332,0.0569,0.09357,0.28487,0.22918,0.27107,0.27161,0.10213,-0.01547,0.06,0.011,-0.19019,-0.22304,-0.26723,-0.1953,-0.15591,-0.2487,-0.25166,-0.2428,-0.09316,-0.16262,-0.08721,-0.14874,-0.06461,-0.09293,-0.08394,-0.15363,-0.1581,-0.18639,-0.20022,-0.2565,-0.23392,-0.15197
Feb1973,0.73304,0.491,0.29085,0.83592,0.82543,0.8891,0.88735,0.71084,1.14862,1.01619,0.6942,0.40063,0.47855,0.57058,0.4574,0.2049,0.14228,0.13761,0.17296,0.35085,0.29672,0.3338,0.32699,0.16051,0.04533,0.11527,0.07083,-0.12422,-0.15958,-0.20486,-0.13653,-0.09959,-0.19204,-0.19883,-0.19133,-0.04414,-0.11344,-0.03983,-0.10251,-0.0221,-0.05162,-0.04252,-0.11095,-0.11494,-0.14201,-0.1576,-0.21422,-0.19318
Mar1973,-1.48584,-0.75169,-0.50051,-0.4724,0.25083,0.31251,0.38631,0.40635,0.24245,0.68943,0.55423,0.27981,0.0342,0.11901,0.21729,0.13536,-0.06516,-0.11788,-0.1248,-0.08266,0.08419,0.03903,0.08003,0.08582,-0.05424,-0.14923,-0.08128,-0.11904,-0.28176,-0.31204,-0.35287,-0.28787,-0.25201,-0.33493,-0.3373,-0.32583,-0.18451,-0.24611,-0.17364,-0.23378,-0.15855,-0.1832,-0.17438,-0.23649,-0.23892,-0.26355,-0.27507,-0.32444
