DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jul1966,-0.21739,-0.86341,-0.57598,-0.85168,-0.76257,-0.97507,-1.24559,-1.5222,-1.83131,-1.4393,-1.32834,-1.30241,-1.3135,-1.26653,-1.44065,-1.48497,-1.46368,-1.54385,-1.07561,-1.13121,-1.22205,-1.27279,-1.28497,-1.27018,-1.29552,-1.32054,-1.41569,-1.40022,-1.46166,-1.43262,-1.60097,-1.38004,-1.40944,-1.33387,-1.34553,-1.26167,-1.26721,-1.24924,-0.93693,-0.83291,-0.88602,-0.97472,-0.98392,-1.04519,-1.12097,-1.09932,-1.06392,-1.01473
Aug1966,0.41538,0.08313,-0.4664,-0.35996,-0.70518,-0.64869,-0.8645,-1.12152,-1.40299,-1.72039,-1.32729,-1.22023,-1.19507,-1.20247,-1.16293,-1.35184,-1.40316,-1.39379,-1.48533,-1.01144,-1.06672,-1.16267,-1.21462,-1.22645,-1.2116,-1.23807,-1.2667,-1.36655,-1.34996,-1.41173,-1.38617,-1.55424,-1.33152,-1.36271,-1.2852,-1.29726,-1.21332,-1.21918,-1.20388,-0.89444,-0.79161,-0.84798,-0.93678,-0.94322,-1.00597,-1.08113,-1.05917,-1.02376
Sep1966,0.10142,0.30015,0.03898,-0.46302,-0.3709,-0.70307,-0.65259,-0.86123,-1.11428,-1.39856,-1.70566,-1.3168,-1.21273,-1.18597,-1.19463,-1.15503,-1.34303,-1.39748,-1.38717,-1.4767,-1.00229,-1.05674,-1.15395,-1.20951,-1.22126,-1.20551,-1.23084,-1.25932,-1.3581,-1.33896,-1.39987,-1.37325,-1.54108,-1.31838,-1.35097,-1.2748,-1.28639,-1.20312,-1.20928,-1.19436,-0.888,-0.78676,-0.84277,-0.93206,-0.93943,-1.00114,-1.07526,-1.05391
Oct1966,1.26684,1.10163,1.06999,0.86242,0.42358,0.24634,-0.1967,-0.25868,-0.52303,-0.77169,-1.10376,-1.43326,-1.02495,-0.92589,-0.90572,-0.91685,-0.8892,-1.1132,-1.18736,-1.19124,-1.2971,-0.77569,-0.83996,-0.95509,-1.01608,-1.02619,-1.01458,-1.04353,-1.08421,-1.20378,-1.18914,-1.26082,-1.23486,-1.40427,-1.17137,-1.2116,-1.13215,-1.14599,-1.0606,-1.06669,-1.05754,-0.74279,-0.64045,-0.70132,-0.79634,-0.80366,-0.86592,-0.94543
Nov1966,-1.73619,-0.06069,-0.06101,0.04881,-0.07809,-0.38136,-0.38601,-0.7014,-0.6886,-0.88231,-1.08551,-1.35532,-1.61878,-1.29397,-1.20945,-1.18502,-1.19021,-1.15894,-1.33645,-1.39329,-1.39698,-1.47448,-1.00268,-1.04962,-1.14651,-1.2072,-1.21202,-1.19719,-1.22752,-1.25656,-1.35666,-1.335,-1.39881,-1.376,-1.54512,-1.32696,-1.35699,-1.28597,-1.2982,-1.21317,-1.21973,-1.20599,-0.89711,-0.79594,-0.84973,-0.93885,-0.94876,-1.0092
Dec1966,-1.15043,-1.71336,-0.78873,-0.76261,-0.58938,-0.63021,-0.84556,-0.76491,-0.98662,-0.93201,-1.10098,-1.28207,-1.5178,-1.74034,-1.44127,-1.36751,-1.34471,-1.34604,-1.31404,-1.47845,-1.54382,-1.53806,-1.60164,-1.13404,-1.17598,-1.26688,-1.32259,-1.32875,-1.31194,-1.34171,-1.36722,-1.46012,-1.43472,-1.49289,-1.46914,-1.63605,-1.42484,-1.44914,-1.3841,-1.3947,-1.3112,-1.31825,-1.30121,-0.99242,-0.88674,-0.93555,-1.02497,-1.03857
Jan1967,-1.47931,-1.65691,-2.04239,-1.52103,-1.49044,-1.30756,-1.30761,-1.43644,-1.283,-1.37236,-1.25308,-1.36272,-1.52929,-1.69846,-1.89986,-1.63702,-1.57187,-1.55545,-1.55324,-1.51584,-1.63313,-1.66216,-1.64767,-1.69435,-1.29716,-1.33473,-1.41071,-1.4611,-1.46852,-1.44666,-1.48178,-1.49924,-1.5794,-1.54904,-1.60166,-1.57323,-1.7423,-1.54618,-1.56518,-1.5043,-1.51525,-1.4358,-1.44101,-1.42501,-1.1356,-1.03124,-1.08291,-1.16922
Feb1967,-0.45953,-1.19902,-1.45977,-1.96739,-1.57628,-1.54844,-1.41203,-1.42512,-1.5256,-1.4005,-1.46635,-1.33703,-1.44911,-1.61596,-1.79749,-1.97989,-1.73803,-1.67063,-1.64639,-1.64384,-1.59999,-1.69615,-1.70865,-1.68498,-1.71991,-1.33909,-1.37314,-1.44606,-1.49488,-1.50053,-1.48334,-1.51525,-1.52958,-1.60302,-1.56682,-1.6191,-1.59333,-1.75492,-1.56295,-1.58429,-1.5266,-1.53403,-1.4583,-1.46393,-1.44762,-1.16579,-1.06665,-1.11643
Mar1967,-1.35599,-1.16588,-1.61987,-1.80002,-2.31524,-1.96729,-1.95975,-1.79899,-1.79687,-1.84831,-1.6633,-1.69447,-1.54926,-1.6332,-1.77035,-1.90137,-2.04496,-1.84705,-1.79186,-1.76781,-1.77916,-1.72687,-1.78418,-1.80962,-1.78456,-1.81241,-1.49227,-1.51582,-1.57317,-1.61298,-1.61568,-1.59764,-1.61752,-1.62302,-1.685,-1.64683,-1.68879,-1.67002,-1.81768,-1.65801,-1.67559,-1.61779,-1.62243,-1.55115,-1.55573,-1.53555,-1.27483,-1.18517
Apr1967,0.0642,-0.85539,-0.87123,-1.30731,-1.50475,-1.98428,-1.71235,-1.68597,-1.58932,-1.65256,-1.69597,-1.5475,-1.62305,-1.55897,-1.65601,-1.78438,-1.91904,-2.03184,-1.84281,-1.80043,-1.77262,-1.78652,-1.73688,-1.80664,-1.83908,-1.81197,-1.85505,-1.54267,-1.56582,-1.61011,-1.64575,-1.64729,-1.63105,-1.64701,-1.64922,-1.71015,-1.6756,-1.72459,-1.70736,-1.85523,-1.69221,-1.71053,-1.65163,-1.65464,-1.58247,-1.58672,-1.56613,-1.3009
